run_id,model,instruction_type,condition,replicate,budget,k,provider,model_id,role,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error,activity_id_returned,activity_returned,reason,activity_id,matched,position,activity,topic,actor,level
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_JJ52,Students examine recommendations to source low emission steel for public infrastructure projects and determine how the strategy could limit anthropogenic impact on Earth's systems.,"This provides a strong case study of embodied emissions, industrial decarbonisation and how government procurement can influence emissions across a supply chain.",a_JJ52,TRUE,1,Students examine recommendations to source low emission steel for public infrastructure projects and determine how the strategy could limit anthropogenic impact on Earth's systems.,steel,upstream,low_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_NG26,Students examine recommendations to serve only plant-based foods at all public catered events and determine how the strategy could limit anthropogenic impact on Earth's systems.,"Students can connect food choices to land clearing, methane emissions, water use and carbon cycling while evaluating a realistic institutional policy.",a_NG26,TRUE,6,Students examine recommendations to serve only plant-based foods at all public catered events and determine how the strategy could limit anthropogenic impact on Earth's systems.,diets,midstream,low_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_QL28,Students examine recommendations to consider native urban tree suggestions for planting nearby and determine how the strategy could limit anthropogenic impact on Earth's systems.,"This links the biosphere and atmosphere through carbon sequestration, while also allowing students to consider biodiversity, urban heat and local adaptation benefits.",a_QL28,TRUE,7,Students examine recommendations to consider native urban tree suggestions for planting nearby and determine how the strategy could limit anthropogenic impact on Earth's systems.,trees,downstream,high_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_SL14,Students examine recommendations to dedicate minimum car-free zones in cities for active travel and determine how the strategy could limit anthropogenic impact on Earth's systems.,"This supports analysis of transport emissions, air quality and urban planning, and helps students compare individual and structural climate actions.",a_SL14,TRUE,8,Students examine recommendations to dedicate minimum car-free zones in cities for active travel and determine how the strategy could limit anthropogenic impact on Earth's systems.,travel,upstream,low_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_II46,Students examine recommendations to regulate leak detection systems for commercial refrigerants and determine how the strategy could limit anthropogenic impact on Earth's systems.,This introduces the high warming potential of some greenhouse gases and demonstrates that effective climate mitigation extends beyond carbon dioxide.,a_II46,TRUE,11,Students examine recommendations to regulate leak detection systems for commercial refrigerants and determine how the strategy could limit anthropogenic impact on Earth's systems.,refrigerants,upstream,low_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_UM47,Students examine recommendations to coordinate subsidised home solar panel installation schemes and determine how the strategy could limit anthropogenic impact on Earth's systems.,Students can apply understanding of energy transfers and electricity generation to evaluate how renewable energy displaces fossil-fuel emissions.,a_UM47,TRUE,21,Students examine recommendations to coordinate subsidised home solar panel installation schemes and determine how the strategy could limit anthropogenic impact on Earth's systems.,solar,upstream,low_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_QZ46,Students examine recommendations to establish local repair cafes for fixing broken smartphones and determine how the strategy could limit anthropogenic impact on Earth's systems.,"This develops systems thinking about resource extraction, manufacturing, e-waste and the circular economy rather than treating consumption as a simple disposal issue.",a_QZ46,TRUE,27,Students examine recommendations to establish local repair cafes for fixing broken smartphones and determine how the strategy could limit anthropogenic impact on Earth's systems.,smartphones,midstream,high_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_LV09,Students examine recommendations to increase support for insulation audits on local public properties and determine how the strategy could limit anthropogenic impact on Earth's systems.,"This is a practical context for investigating heat transfer, energy efficiency and the relationship between building design and greenhouse gas emissions.",a_LV09,TRUE,36,Students examine recommendations to increase support for insulation audits on local public properties and determine how the strategy could limit anthropogenic impact on Earth's systems.,insulation,midstream,high_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_IG83,Students examine recommendations to help plan 15-minute cities for reducing travel requirements and determine how the strategy could limit anthropogenic impact on Earth's systems.,"Students can evaluate a whole-system response to emissions that incorporates transport, land use, equity, health and access to services.",a_IG83,TRUE,38,Students examine recommendations to help plan 15-minute cities for reducing travel requirements and determine how the strategy could limit anthropogenic impact on Earth's systems.,travel,midstream,high_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_OS29,Students examine recommendations to borrow an energy auditing kit to measure household appliances and determine how the strategy could limit anthropogenic impact on Earth's systems.,Collecting and interpreting real energy-use data gives students evidence for calculating emissions reductions and making justified recommendations.,a_OS29,TRUE,53,Students examine recommendations to borrow an energy auditing kit to measure household appliances and determine how the strategy could limit anthropogenic impact on Earth's systems.,appliances,downstream,high_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_YH68,Students examine recommendations to seek property rights protecting sunlight access for solar panels and determine how the strategy could limit anthropogenic impact on Earth's systems.,"This activity highlights how policy, urban design and access can enable or constrain renewable-energy transitions.",a_YH68,TRUE,56,Students examine recommendations to seek property rights protecting sunlight access for solar panels and determine how the strategy could limit anthropogenic impact on Earth's systems.,solar,midstream,high_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_GJ82,Students examine recommendations to make energy-efficient home appliances the lowest cost option and determine how the strategy could limit anthropogenic impact on Earth's systems.,"Students can assess how price signals and regulation influence household energy demand, while considering equity in climate policy.",a_GJ82,TRUE,69,Students examine recommendations to make energy-efficient home appliances the lowest cost option and determine how the strategy could limit anthropogenic impact on Earth's systems.,appliances,upstream,low_cog
run_001,gpt_terra,basic,k_free,1,free,NA,openai,gpt-5.6-terra,primary,2027,success,TRUE,completed,3658,1098,NA,a_FG80,Students examine recommendations to publish public solar generation data from energy suppliers and determine how the strategy could limit anthropogenic impact on Earth's systems.,Analysing publicly available generation data supports climate-data literacy and enables students to evaluate progress towards a lower-emissions electricity system.,a_FG80,TRUE,71,Students examine recommendations to publish public solar generation data from energy suppliers and determine how the strategy could limit anthropogenic impact on Earth's systems.,solar,upstream,high_cog
